name,url,cap_hit,cap_hit_pct,base_salary,signing_bonus,contract_start_year,contract_years_signed,contract_years_left,free_agent_year,salary_signed,status_after_contract,age,birthday,experience,country,college,drafted,team_name
Nick Foligno,https://www.spotrac.com/nhl/player/_/id/1947,4500000,5.11,2600000,2500000,2024,2,2,2026,9000000,UFA,36-334d,Oct 30 1987,16 Years,US,Sudbury,Round 1 (#28 overall) 2006,Chicago Blackhawks
Connor Murphy,https://www.spotrac.com/nhl/player/_/id/8351,4400000,5.00,5150000,-,2022,4,2,2026,17600000,UFA,31-185d,Mar 26 1993,10 Years,US,Sarnia,Round 1 (#20 overall) 2011,Chicago Blackhawks
Jason Dickinson,https://www.spotrac.com/nhl/player/_/id/15276,4250000,4.83,3850000,1000000,2024,2,2,2026,8500000,UFA,30-85d,Jul 04 1994,8 Years,CA,Guelph,Round 1 (#29 overall) 2013,Chicago Blackhawks
Petr Mrazek,https://www.spotrac.com/nhl/player/_/id/8433,4250000,4.83,3850000,1000000,2024,2,2,2026,8500000,UFA,32-226d,Feb 14 1992,11 Years,CZ,Ottawa,Round 5 (#141 overall) 2010,Chicago Blackhawks
Andreas Athanasiou,https://www.spotrac.com/nhl/player/_/id/13747,4250000,4.83,2250000,2000000,2023,2,1,2025,8500000,UFA,30-52d,Aug 06 1994,8 Years,CA,London,Round 4 (#110 overall) 2012,Chicago Blackhawks
Ilya Mikheyev,https://www.spotrac.com/nhl/player/_/id/29812,4750000,5.40,5150000,-,2022,4,2,2026,19000000,UFA,29-352d,Oct 10 1994,,RU,,Undrafted TOR 2019,Chicago Blackhawks
Alec Martinez,https://www.spotrac.com/nhl/player/_/id/7151,4000000,4.55,4000000,-,2024,1,1,2025,4000000,UFA,37-66d,Jul 25 1987,13 Years,US,Miami (OH),Round 4 (#95 overall) 2007,Chicago Blackhawks
T.J. Brodie,https://www.spotrac.com/nhl/player/_/id/8811,3750000,4.26,775000,3500000,2024,2,2,2026,7500000,UFA,34-113d,Jun 07 1990,12 Years,CA,Saginaw,Round 4 (#114 overall) 2008,Chicago Blackhawks
Laurent Brossoit,https://www.spotrac.com/nhl/player/_/id/12196,3300000,3.75,2300000,1000000,2024,2,2,2026,6600000,UFA,31-188d,Mar 23 1993,8 Years,CA,Edmonton,Round 6 (#163 overall) 2011,Chicago Blackhawks
Philipp Kurashev,https://www.spotrac.com/nhl/player/_/id/27190,2250000,2.56,2250000,-,2023,2,1,2025,4500000,RFA,24-349d,Oct 12 1999,3 Years,CH,Quebec,Round 4 (#120 overall) 2018,Chicago Blackhawks
Ryan Donato,https://www.spotrac.com/nhl/player/_/id/25025,2000000,2.27,2000000,-,2023,2,1,2025,4000000,UFA,28-170d,Apr 09 1996,6 Years,US,Harvard,Round 2 (#56 overall) 2014,Chicago Blackhawks
Patrick Maroon,https://www.spotrac.com/nhl/player/_/id/8297,1300000,1.48,1300000,-,2024,1,1,2025,1300000,UFA,36-158d,Apr 23 1988,11 Years,US,London,Round 6 (#161 overall) 2007,Chicago Blackhawks
Lukas Reichel,https://www.spotrac.com/nhl/player/_/id/62874,1200000,1.36,1100000,-,2024,2,2,2026,2400000,RFA,22-131d,May 17 2002,2 Years,DE,,Round 1 (#17 overall) 2020,Chicago Blackhawks
Craig Smith,https://www.spotrac.com/nhl/player/_/id/8340,1000000,1.14,1000000,-,2024,1,1,2025,1000000,UFA,35-23d,Sep 05 1989,12 Years,US,Wisconsin,Round 4 (#98 overall) 2009,Chicago Blackhawks
Connor Bedard,https://www.spotrac.com/nhl/player/_/id/84489,950000,1.08,855000,95000,2023,3,2,2026,13350000,RFA,19-69d,Jul 17 2005,,CA,,Round 1 (#1 overall) 2023,Chicago Blackhawks
Kevin Korchinski,https://www.spotrac.com/nhl/player/_/id/78317,918333,1.04,855000,95000,2023,3,2,2026,5850000,RFA,20-95d,Jun 21 2004,,CA,,Round 1 (#7 overall) 2022,Chicago Blackhawks
Joseph Anderson,https://www.spotrac.com/nhl/player/_/id/20359,800000,0.91,800000,-,2024,2,2,2026,1600000,UFA,26-99d,Jun 19 1998,3 Years,US,USA U-18,Round 3 (#73 overall) 2016,Chicago Blackhawks
Nathan MacKinnon,https://www.spotrac.com/nhl/player/_/id/13403,12600000,14.32,775000,15725000,2023,8,7,2031,100800000,UFA,29-26d,Sep 01 1995,10 Years,CA,Halifax,Round 1 (#1 overall) 2013,Colorado Avalanche
Mikko Rantanen,https://www.spotrac.com/nhl/player/_/id/17992,9250000,10.51,6000000,-,2019,6,1,2025,55500000,UFA,27-332d,Oct 29 1996,8 Years,FI,TPS,Round 1 (#10 overall) 2015,Colorado Avalanche
Cale Makar,https://www.spotrac.com/nhl/player/_/id/23683,9000000,10.23,10600000,-,2021,6,3,2027,54000000,UFA,25-331d,Oct 30 1998,4 Years,CA,Massachusetts,Round 1 (#4 overall) 2017,Colorado Avalanche
Devon Toews,https://www.spotrac.com/nhl/player/_/id/18935,7250000,8.24,7750000,-,2024,7,7,2031,50750000,UFA,30-218d,Feb 21 1994,5 Years,CA,North Dakota,Round 4 (#108 overall) 2014,Colorado Avalanche
Gabriel Landeskog,https://www.spotrac.com/nhl/player/_/id/8346,7000000,7.95,9000000,-,2021,8,5,2029,56000000,UFA,31-308d,Nov 23 1992,12 Years,SE,Kitchener,Round 1 (#2 overall) 2011,Colorado Avalanche
Casey Mittelstadt,https://www.spotrac.com/nhl/player/_/id/23687,5750000,6.53,5750000,-,2024,3,3,2027,17250000,UFA,25-308d,Nov 22 1998,6 Years,US,Minnesota,Round 1 (#8 overall) 2017,Colorado Avalanche
Samuel Girard,https://www.spotrac.com/nhl/player/_/id/20332,5000000,5.68,5000000,-,2020,7,3,2027,35000000,UFA,26-137d,May 12 1998,6 Years,CA,Shawinigan,Round 2 (#47 overall) 2016,Colorado Avalanche
Artturi Lehkonen,https://www.spotrac.com/nhl/player/_/id/19749,4500000,5.11,4500000,-,2022,5,3,2027,22500000,UFA,29-85d,Jul 04 1995,7 Years,FI,Frolunda,Round 2 (#55 overall) 2013,Colorado Avalanche
Josh Manson,https://www.spotrac.com/nhl/player/_/id/15543,4500000,5.11,4000000,-,2022,4,2,2026,18000000,UFA,32-356d,Oct 07 1991,9 Years,CA,Northeastern,Round 6 (#159 overall) 2015,Colorado Avalanche
Ross Colton,https://www.spotrac.com/nhl/player/_/id/20405,4000000,4.55,3500000,500000,2023,4,3,2027,16000000,UFA,28-15d,Sep 11 1996,3 Years,US,Cedar Rapids,Round 4 (#118 overall) 2016,Colorado Avalanche
Alexander Georgiev,https://www.spotrac.com/nhl/player/_/id/24237,3400000,3.86,2900000,-,2022,3,1,2025,10200000,UFA,28-229d,Feb 10 1996,6 Years,RU,TPS,Undrafted NYR 2017,Colorado Avalanche
Miles Wood,https://www.spotrac.com/nhl/player/_/id/18927,2500000,2.84,3250000,-,2023,6,5,2029,15000000,UFA,29-14d,Sep 13 1995,8 Years,US,Boston College,Round 4 (#100 overall) 2013,Colorado Avalanche
Jonathan Drouin,https://www.spotrac.com/nhl/player/_/id/13390,2500000,2.84,2500000,-,2024,1,1,2025,2500000,UFA,29-184d,Mar 27 1995,9 Years,CA,Halifax,Round 1 (#3 overall) 2013,Colorado Avalanche
Logan O'Connor,https://www.spotrac.com/nhl/player/_/id/27746,1050000,1.19,1250000,-,2022,3,1,2025,3150000,UFA,28-43d,Aug 14 1996,5 Years,CA,Denver,Undrafted COL 2018,Colorado Avalanche
Oliver Kylington,https://www.spotrac.com/nhl/player/_/id/18000,1050000,1.19,1050000,-,2024,1,1,2025,1050000,UFA,27-130d,May 19 1997,6 Years,SE,Farjestad,Round 2 (#60 overall) 2015,Colorado Avalanche
Erik Brannstrom,https://www.spotrac.com/nhl/player/_/id/23694,900000,1.02,900000,-,2024,1,1,2025,900000,UFA,25-24d,Sep 02 1999,4 Years,SE,HV 71,Round 1 (#15 overall) 2017,Colorado Avalanche
Nikolai Kovalenko,https://www.spotrac.com/nhl/player/_/id/27242,896250,1.02,775000,92500,2023,2,1,2025,1850000,RFA,24-344d,Oct 17 1999,,RU,Yaroslavl,Round 6 (#171 overall) 2018,Colorado Avalanche
Justus Annunen,https://www.spotrac.com/nhl/player/_/id/27133,837500,0.95,800000,-,2024,2,2,2026,1675000,RFA,24-198d,Mar 11 2000,,FI,Karpat,Round 3 (#64 overall) 2018,Colorado Avalanche
Parker Kelly,https://www.spotrac.com/nhl/player/_/id/24495,825000,0.94,825000,-,2024,2,2,2026,1650000,UFA,25-135d,May 14 1999,2 Years,CA,Prince Albert,Undrafted OTT 2017,Colorado Avalanche
Calvin de Haan,https://www.spotrac.com/nhl/player/_/id/12655,800000,0.91,800000,-,2024,1,1,2025,800000,UFA,33-142d,May 09 1991,10 Years,CA,Oshawa,Round 1 (#12 overall) 2009,Colorado Avalanche
Joel Kiviranta,https://www.spotrac.com/nhl/player/_/id/30273,775000,0.88,775000,-,2024,1,1,2025,775000,UFA,28-184d,Mar 26 1996,3 Years,FI,,Undrafted DAL 2019,Colorado Avalanche
Jacob MacDonald,https://www.spotrac.com/nhl/player/_/id/27349,775000,0.88,775000,-,2024,2,2,2026,1550000,UFA,31-213d,Feb 26 1993,3 Years,US,Cornell,Undrafted FLA 2018,Colorado Avalanche
Chris Wagner,https://www.spotrac.com/nhl/player/_/id/9301,775000,0.88,775000,-,2024,1,1,2025,775000,UFA,33-124d,May 27 1991,9 Years,US,Colgate,Round 5 (#122 overall) 2010,Colorado Avalanche
Zachary Werenski,https://www.spotrac.com/nhl/player/_/id/18882,9583333,10.89,9500000,2000000,2022,6,4,2028,57500000,UFA,27-69d,Jul 19 1997,7 Years,US,Michigan,Round 1 (#8 overall) 2015,Columbus Blue Jackets
Damon Severson,https://www.spotrac.com/nhl/player/_/id/10806,6250000,7.10,6000000,2000000,2023,8,7,2031,50000000,UFA,30-51d,Aug 07 1994,9 Years,CA,Kelowna,Round 2 (#60 overall) 2012,Columbus Blue Jackets
Sean Monahan,https://www.spotrac.com/nhl/player/_/id/13439,5500000,6.25,5500000,1500000,2024,5,5,2029,27500000,UFA,29-350d,Oct 12 1994,10 Years,CA,Ottawa,Round 1 (#6 overall) 2013,Columbus Blue Jackets
Elvis Merzlikins,https://www.spotrac.com/nhl/player/_/id/28788,5400000,6.14,6000000,-,2022,5,3,2027,27000000,UFA,30-167d,Apr 13 1994,4 Years,LV,,Undrafted CBJ 2019,Columbus Blue Jackets
Ivan Provorov,https://www.spotrac.com/nhl/player/_/id/17968,4725000,5.37,6625000,2000000,2019,6,1,2025,40500000,UFA,27-256d,Jan 13 1997,7 Years,RU,Brandon,Round 1 (#7 overall) 2015,Columbus Blue Jackets
Erik Gudbranson,https://www.spotrac.com/nhl/player/_/id/6946,4000000,4.55,3500000,-,2022,4,2,2026,16000000,UFA,32-264d,Jan 07 1992,12 Years,CA,Kingston,Round 1 (#3 overall) 2010,Columbus Blue Jackets
Kirill Marchenko,https://www.spotrac.com/nhl/player/_/id/27118,3850000,4.38,3600000,-,2024,3,3,2027,11550000,RFA,24-66d,Jul 21 2000,1 Years,RU,Khanty-Mansiysk,Round 2 (#49 overall) 2018,Columbus Blue Jackets
Boone Jenner,https://www.spotrac.com/nhl/player/_/id/9286,3750000,4.26,3750000,-,2022,4,2,2026,15000000,UFA,31-104d,Jun 15 1993,10 Years,CA,Oshawa,Round 2 (#37 overall) 2011,Columbus Blue Jackets
Sean Kuraly,https://www.spotrac.com/nhl/player/_/id/18886,2500000,2.84,2500000,-,2021,4,1,2025,10000000,UFA,31-250d,Jan 20 1993,7 Years,US,Miami (OH),Round 5 (#132 overall) 2011,Columbus Blue Jackets
Cole Sillinger,https://www.spotrac.com/nhl/player/_/id/73766,2250000,2.56,2250000,-,2024,2,2,2026,4500000,RFA,21-132d,May 16 2003,2 Years,CA,Sioux Falls,Round 1 (#12 overall) 2021,Columbus Blue Jackets
Yegor Chinakhov,https://www.spotrac.com/nhl/player/_/id/62878,2100000,2.39,2100000,-,2024,2,2,2026,4200000,RFA,23-236d,Feb 01 2001,2 Years,RU,,Round 1 (#21 overall) 2020,Columbus Blue Jackets
Kent Johnson,https://www.spotrac.com/nhl/player/_/id/73758,1800000,2.05,1800000,-,2024,3,3,2027,5400000,RFA,21-342d,Oct 18 2002,2 Years,CA,Michigan,Round 1 (#5 overall) 2021,Columbus Blue Jackets
Jordan Harris,https://www.spotrac.com/nhl/player/_/id/27141,1400000,1.59,1400000,-,2023,2,1,2025,2800000,RFA,24-80d,Jul 07 2000,1 Years,US,Youngstown,Round 3 (#71 overall) 2018,Columbus Blue Jackets
Justin Danforth,https://www.spotrac.com/nhl/player/_/id/72857,1100000,1.25,1100000,-,2024,1,1,2025,1100000,UFA,31-196d,Mar 15 1993,2 Years,CA,,Undrafted CBJ 2021,Columbus Blue Jackets
Mathieu Olivier,https://www.spotrac.com/nhl/player/_/id/29685,1100000,1.25,1100000,-,2023,2,1,2025,2200000,UFA,27-227d,Feb 11 1997,4 Years,US,,Undrafted NSH 2019,Columbus Blue Jackets
Daniil Tarasov,https://www.spotrac.com/nhl/player/_/id/23808,1050000,1.19,1350000,-,2022,3,1,2025,3150000,RFA,25-183d,Mar 27 1999,2 Years,RU,UFA,Round 3 (#86 overall) 2017,Columbus Blue Jackets
Adam Fantilli,https://www.spotrac.com/nhl/player/_/id/84491,950000,1.08,855000,95000,2023,3,2,2026,9450000,RFA,19-347d,Oct 12 2004,,CA,Michigan,Round 1 (#3 overall) 2023,Columbus Blue Jackets
Dmitri Voronkov,https://www.spotrac.com/nhl/player/_/id/31738,925000,1.05,832500,92500,2023,2,1,2025,1850000,RFA,24-15d,Sep 10 2000,,RU,Bars Kazan,Round 4 (#114 overall) 2019,Columbus Blue Jackets
David Jiricek,https://www.spotrac.com/nhl/player/_/id/78316,918333,1.04,855000,95000,2023,3,2,2026,5850000,RFA,20-301d,Nov 28 2003,,CZ,,Round 1 (#6 overall) 2022,Columbus Blue Jackets
James Van Riemsdyk,https://www.spotrac.com/nhl/player/_/id/6390,900000,1.02,900000,-,2024,1,1,2025,900000,UFA,35-147d,May 04 1989,14 Years,US,New Hampshire,Round 1 (#2 overall) 2007,Columbus Blue Jackets
Jacob Christiansen,https://www.spotrac.com/nhl/player/_/id/47358,775000,0.88,775000,-,2024,1,1,2025,775000,RFA,25-14d,Sep 12 1999,,CA,,Undrafted CBJ 2020,Columbus Blue Jackets
Trey Fix-Wolansky,https://www.spotrac.com/nhl/player/_/id/27275,775000,0.88,775000,-,2023,2,1,2025,1550000,RFA,25-123d,May 26 1999,,CA,Edmonton,Round 7 (#204 overall) 2018,Columbus Blue Jackets
Jack Johnson,https://www.spotrac.com/nhl/player/_/id/1773,775000,0.88,775000,-,2024,1,1,2025,775000,UFA,37-259d,Jan 13 1987,17 Years,US,Michigan,Round 1 (#3 overall) 2005,Columbus Blue Jackets
Tyler Seguin,https://www.spotrac.com/nhl/player/_/id/6945,9850000,11.19,2750000,5250000,2019,8,3,2027,78800000,UFA,32-240d,Jan 31 1992,13 Years,CA,Boston,Round 1 (#2 overall) 2010,Dallas Stars
Jamie Benn,https://www.spotrac.com/nhl/player/_/id/6357,9500000,10.80,1000000,5500000,2017,8,1,2025,76000000,UFA,35-73d,Jul 17 1989,14 Years,CA,Kelowna,Round 5 (#129 overall) 2007,Dallas Stars
Miro Heiskanen,https://www.spotrac.com/nhl/player/_/id/23682,8450000,9.60,11000000,-,2021,8,5,2029,67600000,UFA,25-70d,Jul 18 1999,5 Years,FI,HIFK,Round 1 (#3 overall) 2017,Dallas Stars
Roope Hintz,https://www.spotrac.com/nhl/player/_/id/22492,8450000,9.60,8250000,3000000,2023,8,7,2031,67600000,UFA,27-313d,Nov 17 1996,5 Years,FI,HIFK,Round 2 (#49 overall) 2015,Dallas Stars
Jason Robertson,https://www.spotrac.com/nhl/player/_/id/23758,7750000,8.81,9200000,-,2022,4,2,2026,31000000,RFA,25-66d,Jul 22 1999,4 Years,US,Kingston,Round 2 (#39 overall) 2017,Dallas Stars
Esa Lindell,https://www.spotrac.com/nhl/player/_/id/15230,5800000,6.59,5000000,-,2025,5,6,2030,26250000,UFA,30-127d,May 23 1994,8 Years,FI,Kiekko-Vanta,Round 3 (#74 overall) 2012,Dallas Stars
Mason Marchment,https://www.spotrac.com/nhl/player/_/id/25023,4500000,5.11,2600000,1000000,2022,4,2,2026,18000000,UFA,29-101d,Jun 18 1995,4 Years,CA,Mississauga,Undrafted TOR 2018,Dallas Stars
Jake Oettinger,https://www.spotrac.com/nhl/player/_/id/23705,4000000,4.55,4800000,-,2022,3,1,2025,12000000,RFA,25-282d,Dec 18 1998,3 Years,US,Boston,Round 1 (#26 overall) 2017,Dallas Stars
Thomas Harley,https://www.spotrac.com/nhl/player/_/id/31642,4000000,4.55,3500000,-,2024,2,2,2026,8000000,RFA,23-37d,Aug 19 2001,2 Years,US,Mississauga,Round 1 (#18 overall) 2019,Dallas Stars
Mathew Dumba,https://www.spotrac.com/nhl/player/_/id/10754,3750000,4.26,4000000,-,2024,2,2,2026,7500000,UFA,30-64d,Jul 25 1994,10 Years,CA,Edge,Round 1 (#7 overall) 2012,Dallas Stars
Ilya Lyubushkin,https://www.spotrac.com/nhl/player/_/id/25975,3250000,3.69,4000000,-,2024,3,3,2027,9750000,UFA,30-174d,Apr 06 1994,5 Years,RU,Yaroslavl,Undrafted ARI 2018,Dallas Stars
Matt Duchene,https://www.spotrac.com/nhl/player/_/id/6352,3000000,3.41,3000000,-,2024,1,1,2025,3000000,UFA,33-255d,Jan 16 1991,14 Years,CA,Brampton,Round 1 (#3 overall) 2009,Dallas Stars
Evgenii Dadonov,https://www.spotrac.com/nhl/player/_/id/7147,2250000,2.56,2250000,-,2023,2,1,2025,4500000,UFA,35-200d,Mar 12 1989,9 Years,RU,St. Petersburg,Round 3 (#71 overall) 2007,Dallas Stars
Nils Lundkvist,https://www.spotrac.com/nhl/player/_/id/27091,1250000,1.42,1250000,-,2024,1,1,2025,1250000,RFA,24-60d,Jul 27 2000,2 Years,SE,Lulea,Round 1 (#28 overall) 2018,Dallas Stars
Sam Steel,https://www.spotrac.com/nhl/player/_/id/20314,1200000,1.36,1200000,-,2024,1,1,2025,1200000,UFA,26-235d,Feb 03 1998,5 Years,CA,Regina,Round 1 (#30 overall) 2016,Dallas Stars
Casey DeSmith,https://www.spotrac.com/nhl/player/_/id/23829,1000000,1.14,1200000,-,2024,3,3,2027,3000000,UFA,33-46d,Aug 13 1991,4 Years,US,New Hampshire,Undrafted PIT 2017,Dallas Stars
Brendan Smith,https://www.spotrac.com/nhl/player/_/id/6844,1000000,1.14,1000000,-,2024,1,1,2025,1000000,UFA,35-233d,Feb 07 1989,11 Years,CA,Wisconsin,Round 1 (#27 overall) 2007,Dallas Stars
Mavrik Bourque,https://www.spotrac.com/nhl/player/_/id/62887,894167,1.02,832500,-,2022,3,1,2025,2775000,RFA,22-260d,Jan 08 2002,,CA,,Round 1 (#30 overall) 2020,Dallas Stars
Wyatt Johnston,https://www.spotrac.com/nhl/player/_/id/73777,894167,1.02,832500,-,2022,3,1,2025,3093750,RFA,21-134d,May 14 2003,1 Years,CA,Windsor,Round 1 (#23 overall) 2021,Dallas Stars
Logan Stankoven,https://www.spotrac.com/nhl/player/_/id/73803,814167,0.93,775000,-,2023,3,2,2026,2775000,RFA,21-211d,Feb 26 2003,,CA,Kamloops,Round 2 (#47 overall) 2021,Dallas Stars
Oskar Back,https://www.spotrac.com/nhl/player/_/id/27145,775000,0.88,775000,-,2024,1,1,2025,775000,RFA,24-197d,Mar 12 2000,,SE,Farjestad,Round 3 (#75 overall) 2018,Dallas Stars
Colin Blackwell,https://www.spotrac.com/nhl/player/_/id/27596,775000,0.88,775000,-,2024,1,1,2025,775000,UFA,31-183d,Mar 28 1993,4 Years,US,Harvard,,Dallas Stars
Matej Blumel,https://www.spotrac.com/nhl/player/_/id/31724,775000,0.88,775000,-,2024,1,1,2025,775000,RFA,24-117d,May 31 2000,,CZ,Waterloo,Round 4 (#100 overall) 2019,Dallas Stars
Dylan Larkin,https://www.spotrac.com/nhl/player/_/id/17910,8700000,9.89,11000000,-,2023,8,7,2031,69600000,UFA,28-58d,Jul 30 1996,8 Years,US,Michigan,Round 1 (#15 overall) 2014,Detroit Red Wings
Lucas Raymond,https://www.spotrac.com/nhl/player/_/id/62861,8075000,9.18,8075000,-,2024,8,8,2032,64600000,UFA,22-181d,Mar 28 2002,2 Years,SE,,Round 1 (#4 overall) 2020,Detroit Red Wings
Alexander Debrincat,https://www.spotrac.com/nhl/player/_/id/20324,7875000,8.95,8250000,-,2023,4,3,2027,31500000,UFA,26-282d,Dec 18 1997,6 Years,US,Erie,Round 2 (#39 overall) 2016,Detroit Red Wings
Andrew Copp,https://www.spotrac.com/nhl/player/_/id/16548,5625000,6.39,6250000,-,2022,5,3,2027,28125000,UFA,30-81d,Jul 08 1994,9 Years,US,Michigan,Round 4 (#104 overall) 2013,Detroit Red Wings
J.T Compher,https://www.spotrac.com/nhl/player/_/id/18948,5100000,5.80,5500000,-,2023,5,4,2028,25500000,UFA,29-172d,Apr 08 1995,7 Years,US,Michigan,Round 2 (#35 overall) 2013,Detroit Red Wings
Ben Chiarot,https://www.spotrac.com/nhl/player/_/id/14394,4750000,5.40,5250000,-,2022,4,2,2026,19000000,UFA,33-142d,May 09 1991,10 Years,CA,Guelph,Round 4 (#120 overall) 2009,Detroit Red Wings
Ville Husso,https://www.spotrac.com/nhl/player/_/id/19785,4750000,5.40,4750000,-,2022,3,1,2025,14250000,UFA,29-233d,Feb 06 1995,3 Years,FI,,Round 4 (#94 overall) 2014,Detroit Red Wings
Vladimir Tarasenko,https://www.spotrac.com/nhl/player/_/id/10904,4750000,5.40,4750000,-,2024,2,2,2026,9500000,UFA,32-289d,Dec 13 1991,10 Years,RU,Novokuznetsk,Round 1 (#16 overall) 2010,Detroit Red Wings
Patrick Kane,https://www.spotrac.com/nhl/player/_/id/1584,4000000,4.55,4000000,-,2024,1,1,2025,4000000,UFA,35-313d,Nov 19 1988,15 Years,US,London,Round 1 (#1 overall) 2007,Detroit Red Wings
Justin Holl,https://www.spotrac.com/nhl/player/_/id/20624,3400000,3.86,3400000,-,2023,3,2,2026,10200000,UFA,32-241d,Jan 30 1992,6 Years,US,Minnesota,Round 2 (#54 overall) 2010,Detroit Red Wings
Michael Rasmussen,https://www.spotrac.com/nhl/player/_/id/23688,3200000,3.64,2050000,500000,2024,4,4,2028,12800000,UFA,25-162d,Apr 17 1999,4 Years,CA,Tri-City,Round 1 (#9 overall) 2017,Detroit Red Wings
Olli Maatta,https://www.spotrac.com/nhl/player/_/id/10769,3000000,3.41,3000000,-,2023,2,1,2025,6000000,UFA,30-36d,Aug 22 1994,10 Years,FI,London,Round 1 (#22 overall) 2012,Detroit Red Wings
Cameron Talbot,https://www.spotrac.com/nhl/player/_/id/11076,2500000,2.84,2500000,-,2024,2,2,2026,5000000,UFA,37-86d,Jul 05 1987,9 Years,CA,Alabama,Undrafted NYR 2010,Detroit Red Wings
Jeff Petry,https://www.spotrac.com/nhl/player/_/id/7144,6250000,7.10,3000000,2000000,2021,4,1,2025,25000000,UFA,36-294d,Dec 09 1987,13 Years,US,Michigan State,Round 2 (#45 overall) 2006,Detroit Red Wings
Joe Veleno,https://www.spotrac.com/nhl/player/_/id/27093,2275000,2.59,2275000,-,2024,2,2,2026,4550000,RFA,24-256d,Jan 13 2000,3 Years,CA,Drummondville,Round 1 (#30 overall) 2018,Detroit Red Wings
Erik Gustafsson,https://www.spotrac.com/nhl/player/_/id/17516,2000000,2.27,2000000,-,2024,2,2,2026,4000000,UFA,32-197d,Mar 14 1992,6 Years,SE,Frolunda,Round 4 (#93 overall) 2012,Detroit Red Wings
Christian Fischer,https://www.spotrac.com/nhl/player/_/id/18136,1125000,1.28,1125000,-,2024,1,1,2025,1125000,UFA,27-164d,Apr 15 1997,7 Years,US,USA U-18,Round 2 (#32 overall) 2015,Detroit Red Wings
Alex Lyon,https://www.spotrac.com/nhl/player/_/id/18903,900000,1.02,900000,-,2023,2,1,2025,1800000,UFA,31-292d,Dec 09 1992,6 Years,US,Yale,Undrafted PHI 2016,Detroit Red Wings
Simon Edvinsson,https://www.spotrac.com/nhl/player/_/id/73760,894167,1.02,832500,92500,2023,3,2,2026,5325000,RFA,21-232d,Feb 05 2003,,SE,Frolunda,Round 1 (#6 overall) 2021,Detroit Red Wings
Jonatan Berggren,https://www.spotrac.com/nhl/player/_/id/27102,825000,0.94,825000,-,2024,1,1,2025,825000,RFA,24-71d,Jul 16 2000,,SE,Skelleftea,Round 2 (#33 overall) 2018,Detroit Red Wings
Tyler Motte,https://www.spotrac.com/nhl/player/_/id/18906,800000,0.91,800000,-,2024,1,1,2025,800000,UFA,29-201d,Mar 10 1995,6 Years,US,Michigan,Round 4 (#121 overall) 2013,Detroit Red Wings
Connor McDavid,https://www.spotrac.com/nhl/player/_/id/17891,12500000,14.20,3000000,7000000,2018,8,2,2026,100000000,UFA,27-256d,Jan 13 1997,8 Years,CA,Erie,Round 1 (#1 overall) 2015,Edmonton Oilers
Darnell Nurse,https://www.spotrac.com/nhl/player/_/id/13452,9250000,10.51,12000000,-,2022,8,6,2030,74000000,UFA,29-235d,Feb 04 1995,9 Years,CA,Sault Ste. Marie,Round 1 (#7 overall) 2013,Edmonton Oilers
Leon Draisaitl,https://www.spotrac.com/nhl/player/_/id/15712,8500000,9.66,8000000,-,2025,8,9,2033,112000000,UFA,28-335d,Oct 27 1995,9 Years,DE,Prince Albert,Round 1 (#3 overall) 2014,Edmonton Oilers
Mattias Ekholm,https://www.spotrac.com/nhl/player/_/id/8014,6250000,7.10,6500000,-,2022,4,2,2026,25000000,UFA,34-127d,May 24 1990,12 Years,SE,Brynas,Round 4 (#102 overall) 2009,Edmonton Oilers
Zach Hyman,https://www.spotrac.com/nhl/player/_/id/17827,5500000,6.25,7700000,-,2021,7,4,2028,38500000,UFA,32-110d,Jun 09 1992,8 Years,CA,Michigan,Round 5 (#123 overall) 2010,Edmonton Oilers
Ryan Nugent-Hopkins,https://www.spotrac.com/nhl/player/_/id/8182,5125000,5.82,6250000,-,2021,8,5,2029,41000000,UFA,31-168d,Apr 12 1993,12 Years,CA,Red Deer,Round 1 (#1 overall) 2011,Edmonton Oilers
Evander Kane,https://www.spotrac.com/nhl/player/_/id/6346,5125000,5.82,2750000,2000000,2022,4,2,2026,20500000,UFA,33-57d,Aug 02 1991,14 Years,CA,Vancouver,Round 1 (#4 overall) 2009,Edmonton Oilers
Viktor Arvidsson,https://www.spotrac.com/nhl/player/_/id/15584,4000000,4.55,4000000,-,2024,2,2,2026,8000000,UFA,31-172d,Apr 08 1993,8 Years,SE,Skelleftea,Round 4 (#112 overall) 2014,Edmonton Oilers
Evan Bouchard,https://www.spotrac.com/nhl/player/_/id/27049,3900000,4.43,4300000,-,2023,2,1,2025,7800000,RFA,24-341d,Oct 20 1999,4 Years,CA,London,Round 1 (#10 overall) 2018,Edmonton Oilers
Jeff Skinner,https://www.spotrac.com/nhl/player/_/id/7679,3000000,3.41,3000000,-,2024,1,1,2025,3000000,UFA,32-134d,May 16 1992,13 Years,CA,Kitchener,Round 1 (#7 overall) 2010,Edmonton Oilers
Adam Henrique,https://www.spotrac.com/nhl/player/_/id/8802,3000000,3.41,2500000,500000,2024,2,2,2026,6000000,UFA,34-235d,Feb 05 1990,13 Years,CA,Windsor,Round 3 (#82 overall) 2008,Edmonton Oilers
Brett Kulak,https://www.spotrac.com/nhl/player/_/id/15559,2750000,3.13,2500000,-,2022,4,2,2026,11000000,UFA,30-264d,Jan 06 1994,9 Years,CA,Vancouver,Round 4 (#105 overall) 2012,Edmonton Oilers
