player,Position,cps,url,cap_hit,cap_hit_pct,base_salary,signing_bonus,contract_start_year,contract_years_signed,contract_years_left,free_agent_year,salary_signed,status_after_contract,age,birthday,experience,country,college,drafted,team_name
Troy Terry,R,0.4194932286489572,https://www.spotrac.com/nhl/player/_/id/25051,7000000,7.95,7000000,-,2023,7,6,2030,49000000,UFA,27-16d,Sep 10 1997,6 Years,US,Denver,Round 5 (#148 overall) 2015,Anaheim Ducks
Miro Heiskanen,D,0.4609701152858752,https://www.spotrac.com/nhl/player/_/id/23682,8450000,9.6,11000000,-,2021,8,5,2029,67600000,UFA,25-70d,Jul 18 1999,5 Years,FI,HIFK,Round 1 (#3 overall) 2017,Dallas Stars
Philipp Kurashev,C,0.3798599302308518,https://www.spotrac.com/nhl/player/_/id/27190,2250000,2.56,2250000,-,2023,2,1,2025,4500000,RFA,24-349d,Oct 12 1999,3 Years,CH,Quebec,Round 4 (#120 overall) 2018,Chicago Blackhawks
Mark Stone,R,0.358380008033124,https://www.spotrac.com/nhl/player/_/id/8404,9500000,10.8,6000000,5000000,2019,8,3,2027,76000000,UFA,32-137d,May 13 1992,10 Years,CA,Brandon,Round 6 (#178 overall) 2010,Vegas Golden Knights
Teuvo Teravainen,L,0.4090189369961582,https://www.spotrac.com/nhl/player/_/id/10765,5400000,6.14,2000000,4200000,2024,3,3,2027,16200000,UFA,30-16d,Sep 11 1994,10 Years,FI,Jokerit,Round 1 (#18 overall) 2012,Chicago Blackhawks
Mason Marchment,L,0.4102232875389738,https://www.spotrac.com/nhl/player/_/id/25023,4500000,5.11,2600000,1000000,2022,4,2,2026,18000000,UFA,29-101d,Jun 18 1995,4 Years,CA,Mississauga,Undrafted TOR 2018,Dallas Stars
Owen Tippett,R,0.4683536743701884,https://www.spotrac.com/nhl/player/_/id/23689,6200000,7.05,1000000,5000000,2024,8,8,2032,49600000,UFA,25-222d,Feb 16 1999,3 Years,CA,Mississauga,Round 1 (#10 overall) 2017,Philadelphia Flyers
Martin Necas,C,0.390990915393223,https://www.spotrac.com/nhl/player/_/id/23691,6500000,7.39,3000000,3000000,2024,2,2,2026,13000000,UFA,25-254d,Jan 15 1999,6 Years,CZ,Brno,Round 1 (#12 overall) 2017,Carolina Hurricanes
John Carlson,D,0.6163292821155286,https://www.spotrac.com/nhl/player/_/id/7201,8000000,9.09,4000000,2000000,2018,8,2,2026,64000000,UFA,34-261d,Jan 10 1990,13 Years,US,London,Round 1 (#27 overall) 2008,Washington Capitals
Tyler Seguin,C,0.4073544697942693,https://www.spotrac.com/nhl/player/_/id/6945,9850000,11.19,2750000,5250000,2019,8,3,2027,78800000,UFA,32-240d,Jan 31 1992,13 Years,CA,Boston,Round 1 (#2 overall) 2010,Dallas Stars
Jonathan Huberdeau,C,0.3951507958780291,https://www.spotrac.com/nhl/player/_/id/8418,10500000,11.93,3500000,7000000,2023,8,7,2031,84000000,UFA,31-116d,Jun 03 1993,11 Years,CA,Saint John,Round 1 (#3 overall) 2011,Calgary Flames
MacKenzie Weegar,D,0.6421613414847637,https://www.spotrac.com/nhl/player/_/id/15278,6250000,7.1,4250000,2000000,2023,8,7,2031,50000000,UFA,30-263d,Jan 07 1994,7 Years,CA,Halifax,Round 7 (#206 overall) 2013,Calgary Flames
Timo Meier,R,0.4257272228081833,https://www.spotrac.com/nhl/player/_/id/17978,8800000,10.0,5350000,5750000,2023,8,7,2031,70400000,UFA,27-353d,Oct 08 1996,6 Years,CH,Halifax,Round 1 (#9 overall) 2015,New Jersey Devils
Andrei Svechnikov,R,0.3765859269978967,https://www.spotrac.com/nhl/player/_/id/27038,7750000,8.81,9000000,-,2021,8,5,2029,62000000,UFA,24-183d,Mar 26 2000,5 Years,RU,Barrie,Round 1 (#2 overall) 2018,Carolina Hurricanes
Kris Letang,D,0.5809298273035537,https://www.spotrac.com/nhl/player/_/id/2035,6100000,6.93,6200000,-,2022,6,4,2028,36600000,UFA,37-158d,Apr 24 1987,16 Years,CA,Val-d'Or,Round 3 (#62 overall) 2005,Pittsburgh Penguins
Adam Henrique,C,0.4386308223197678,https://www.spotrac.com/nhl/player/_/id/8802,3000000,3.41,2500000,500000,2024,2,2,2026,6000000,UFA,34-235d,Feb 05 1990,13 Years,CA,Windsor,Round 3 (#82 overall) 2008,Edmonton Oilers
Chandler Stephenson,C,0.396547203576587,https://www.spotrac.com/nhl/player/_/id/15254,6250000,7.1,2250000,4000000,2024,7,7,2031,43750000,UFA,30-158d,Apr 22 1994,7 Years,CA,Regina,Round 3 (#77 overall) 2012,Seattle Kraken
Drew Doughty,D,0.5464306185205544,https://www.spotrac.com/nhl/player/_/id/4864,11000000,12.5,11000000,-,2019,8,3,2027,88000000,UFA,34-295d,Dec 07 1989,14 Years,CA,Guelph,Round 1 (#2 overall) 2008,Los Angeles Kings
Devon Toews,D,0.5388235679309393,https://www.spotrac.com/nhl/player/_/id/18935,7250000,8.24,7750000,-,2024,7,7,2031,50750000,UFA,30-218d,Feb 21 1994,5 Years,CA,North Dakota,Round 4 (#108 overall) 2014,Colorado Avalanche
Joel Farabee,L,0.4050816644923684,https://www.spotrac.com/nhl/player/_/id/27053,5000000,5.68,3000000,2000000,2022,6,4,2028,30000000,UFA,24-213d,Feb 25 2000,3 Years,US,USA U-18,Round 1 (#14 overall) 2018,Philadelphia Flyers
Juraj Slafkovsky,L,0.41955174018471,https://www.spotrac.com/nhl/player/_/id/78311,950000,1.08,855000,95000,2025,8,9,2033,60800000,UFA,20-178d,Mar 30 2004,,SK,,Round 1 (#1 overall) 2022,Montreal Canadiens
Filip Hronek,D,0.5000382485307112,https://www.spotrac.com/nhl/player/_/id/20338,7250000,8.24,5500000,4000000,2024,8,8,2032,58000000,UFA,26-328d,Nov 02 1997,4 Years,CZ,Hr. Kralove,Round 2 (#53 overall) 2016,Vancouver Canucks
David Perron,L,0.3604396994727427,https://www.spotrac.com/nhl/player/_/id/2082,4000000,4.55,4000000,-,2024,2,2,2026,8000000,UFA,36-126d,May 25 1988,16 Years,CA,Lewiston,Round 1 (#26 overall) 2007,Ottawa Senators
Patrick Kane,R,0.3307790789855083,https://www.spotrac.com/nhl/player/_/id/1584,4000000,4.55,4000000,-,2024,1,1,2025,4000000,UFA,35-313d,Nov 19 1988,15 Years,US,London,Round 1 (#1 overall) 2007,Detroit Red Wings
Phillip Danault,C,0.4069890814992319,https://www.spotrac.com/nhl/player/_/id/8573,5500000,6.25,3750000,3000000,2021,6,3,2027,33000000,UFA,31-215d,Feb 24 1993,8 Years,CA,Victoriaville,Round 1 (#26 overall) 2011,Los Angeles Kings
Brady Skjei,D,0.4757652907363099,https://www.spotrac.com/nhl/player/_/id/16619,7000000,7.95,6000000,4000000,2024,7,7,2031,49000000,UFA,30-185d,Mar 26 1994,8 Years,US,Minnesota,Round 1 (#28 overall) 2012,Nashville Predators
Max Domi,C,0.350310365840087,https://www.spotrac.com/nhl/player/_/id/13414,3750000,4.26,1500000,3500000,2024,4,4,2028,15000000,UFA,29-209d,Mar 02 1995,7 Years,CA,London,Round 1 (#12 overall) 2013,Toronto Maple Leafs
Noah Hanifin,D,0.54172710001949,https://www.spotrac.com/nhl/player/_/id/17987,7350000,8.35,1000000,8500000,2024,8,8,2032,58800000,UFA,27-244d,Jan 25 1997,8 Years,US,Boston College,Round 1 (#5 overall) 2015,Vegas Golden Knights
Conor Garland,R,0.4036931983189608,https://www.spotrac.com/nhl/player/_/id/18520,4950000,5.63,6000000,-,2021,5,2,2026,24750000,UFA,28-199d,Mar 11 1996,4 Years,US,Moncton,Round 5 (#123 overall) 2015,Vancouver Canucks
Dylan Cozens,C,0.3992356759662182,https://www.spotrac.com/nhl/player/_/id/31631,7100000,8.07,7100000,-,2023,7,6,2030,49700000,UFA,23-228d,Feb 09 2001,3 Years,CA,Lethbridge,Round 1 (#7 overall) 2019,Buffalo Sabres
Thomas Harley,D,0.5066031872303951,https://www.spotrac.com/nhl/player/_/id/31642,4000000,4.55,3500000,-,2024,2,2,2026,8000000,RFA,23-37d,Aug 19 2001,2 Years,US,Mississauga,Round 1 (#18 overall) 2019,Dallas Stars
Brock Faber,D,0.5039804081886728,https://www.spotrac.com/nhl/player/_/id/62906,925000,1.05,832500,92500,2025,8,9,2033,68000000,UFA,22-34d,Aug 22 2002,,US,,Round 2 (#45 overall) 2020,Minnesota Wild
Luke Hughes,D,0.3883412351334077,https://www.spotrac.com/nhl/player/_/id/73757,925000,1.05,832500,92500,2022,3,1,2025,5550000,RFA,21-16d,Sep 09 2003,,US,USA U-18,Round 1 (#4 overall) 2021,New Jersey Devils
Brayden Schenn,C,0.4318837276971564,https://www.spotrac.com/nhl/player/_/id/8050,6500000,7.39,8000000,-,2020,8,4,2028,52000000,UFA,33-37d,Aug 22 1991,13 Years,CA,Brandon,Round 1 (#5 overall) 2009,St. Louis Blues
Jeff Skinner,L,0.4129836360419341,https://www.spotrac.com/nhl/player/_/id/7679,3000000,3.41,3000000,-,2024,1,1,2025,3000000,UFA,32-134d,May 16 1992,13 Years,CA,Kitchener,Round 1 (#7 overall) 2010,Edmonton Oilers
Nicholas Paul,L,0.4162033266296149,https://www.spotrac.com/nhl/player/_/id/16130,3150000,3.58,3250000,-,2022,7,5,2029,22050000,UFA,29-191d,Mar 20 1995,7 Years,CA,,Round 4 (#101 overall) 2013,Tampa Bay Lightning
Vince Dunn,D,0.3645727492725423,https://www.spotrac.com/nhl/player/_/id/18251,7350000,8.35,8000000,-,2023,4,3,2027,29400000,UFA,27-332d,Oct 29 1996,5 Years,CA,Niagara,Round 2 (#56 overall) 2015,Seattle Kraken
Andrei Kuzmenko,L,0.3622676180353569,https://www.spotrac.com/nhl/player/_/id/78104,5500000,6.25,4500000,1000000,2023,2,1,2025,11000000,UFA,28-235d,Feb 04 1996,,RU,,Undrafted VAN 2022,Calgary Flames
Mattias Ekholm,D,0.5166960143648935,https://www.spotrac.com/nhl/player/_/id/8014,6250000,7.1,6500000,-,2022,4,2,2026,25000000,UFA,34-127d,May 24 1990,12 Years,SE,Brynas,Round 4 (#102 overall) 2009,Edmonton Oilers
Nick Bjugstad,C,0.4196165710035492,https://www.spotrac.com/nhl/player/_/id/12204,2100000,2.39,2100000,-,2023,2,1,2025,4200000,UFA,32-72d,Jul 17 1992,11 Years,US,Minnesota,Round 1 (#19 overall) 2010,Utah Hockey Club
Ryan Hartman,R,0.3957919482730153,https://www.spotrac.com/nhl/player/_/id/13718,4000000,4.55,5000000,-,2024,3,3,2027,12000000,UFA,29-7d,Sep 20 1994,8 Years,US,Plymouth,Round 1 (#30 overall) 2013,Minnesota Wild
Ivan Barbashev,C,0.3989460964242254,https://www.spotrac.com/nhl/player/_/id/15599,5000000,5.68,5400000,-,2023,5,4,2028,25000000,UFA,28-287d,Dec 14 1995,6 Years,RU,Moncton,Round 2 (#33 overall) 2014,Vegas Golden Knights
Anthony Cirelli,C,0.4320509222651155,https://www.spotrac.com/nhl/player/_/id/19843,6250000,7.1,1625000,6500000,2023,8,7,2031,50000000,UFA,27-73d,Jul 15 1997,5 Years,CA,Mississauga,Round 3 (#72 overall) 2015,Tampa Bay Lightning
William Eklund,L,0.379875495393373,https://www.spotrac.com/nhl/player/_/id/73761,863333,0.98,832500,-,2023,3,2,2026,5325000,RFA,21-348d,Oct 12 2002,,SE,Djurgarden,Round 1 (#7 overall) 2021,San Jose Sharks
Jordan Eberle,R,0.4002619051980138,https://www.spotrac.com/nhl/player/_/id/7142,4750000,5.4,4750000,-,2024,2,2,2026,9500000,UFA,34-137d,May 14 1990,12 Years,CA,Regina,Round 1 (#22 overall) 2008,Seattle Kraken
Evander Kane,L,0.4357035979900786,https://www.spotrac.com/nhl/player/_/id/6346,5125000,5.82,2750000,2000000,2022,4,2,2026,20500000,UFA,33-57d,Aug 02 1991,14 Years,CA,Vancouver,Round 1 (#4 overall) 2009,Edmonton Oilers
Elias Lindholm,C,0.4092174757621266,https://www.spotrac.com/nhl/player/_/id/13425,7750000,8.81,6000000,4000000,2024,7,7,2031,54250000,UFA,29-299d,Dec 02 1994,10 Years,SE,Brynas,Round 1 (#5 overall) 2013,Boston Bruins
Anthony Mantha,R,0.3518101600586514,https://www.spotrac.com/nhl/player/_/id/13646,3500000,3.98,3500000,-,2024,1,1,2025,3500000,UFA,30-11d,Sep 16 1994,7 Years,CA,Val-d'Or,Round 1 (#20 overall) 2013,Calgary Flames
Travis Sanheim,D,0.5083925252658141,https://www.spotrac.com/nhl/player/_/id/15891,6250000,7.1,5125000,3000000,2023,8,7,2031,50000000,UFA,28-181d,Mar 29 1996,5 Years,CA,Calgary,Round 1 (#17 overall) 2014,Philadelphia Flyers
Fabian Zetterlund,L,0.4393596549277673,https://www.spotrac.com/nhl/player/_/id/23785,1450000,1.65,1500000,-,2023,2,1,2025,2900000,RFA,25-32d,Aug 25 1999,1 Years,SE,Farjestad,Round 3 (#63 overall) 2017,San Jose Sharks
Logan Cooley,C,0.3675215826703497,https://www.spotrac.com/nhl/player/_/id/78313,950000,1.08,855000,95000,2023,3,2,2026,13350000,RFA,20-143d,May 04 2004,,US,,Round 1 (#3 overall) 2022,Utah Hockey Club
Brent Burns,D,0.478320160831858,https://www.spotrac.com/nhl/player/_/id/1796,8000000,9.09,3000000,2000000,2017,8,1,2025,64000000,UFA,39-204d,Mar 09 1985,19 Years,CA,Brampton,Round 1 (#20 overall) 2003,Carolina Hurricanes
Tyler Bertuzzi,L,0.401844257436024,https://www.spotrac.com/nhl/player/_/id/15903,5500000,6.25,2000000,5000000,2024,4,4,2028,22000000,UFA,29-215d,Feb 24 1995,6 Years,CA,Guelph,Round 2 (#58 overall) 2013,Chicago Blackhawks
Daniel Sprong,R,0.3252904332984505,https://www.spotrac.com/nhl/player/_/id/18147,975000,1.11,775000,200000,2024,1,1,2025,975000,UFA,27-193d,Mar 17 1997,7 Years,NL,Charlottetown,Round 2 (#46 overall) 2015,Vancouver Canucks
Brandon Saad,L,0.3884270531155054,https://www.spotrac.com/nhl/player/_/id/8425,4500000,5.11,4375000,-,2021,5,2,2026,22500000,UFA,31-335d,Oct 27 1992,11 Years,US,Saginaw,Round 2 (#43 overall) 2011,St. Louis Blues
Anthony Duclair,L,0.3642320381558488,https://www.spotrac.com/nhl/player/_/id/13797,3500000,3.98,3500000,-,2024,4,4,2028,14000000,UFA,29-32d,Aug 26 1995,8 Years,CA,Quebec,Round 3 (#80 overall) 2013,New York Islanders
Shea Theodore,D,0.3139950158373638,https://www.spotrac.com/nhl/player/_/id/13567,5200000,5.91,5200000,-,2018,7,1,2025,36400000,UFA,29-55d,Aug 03 1995,7 Years,CA,Seattle,Round 1 (#26 overall) 2013,Vegas Golden Knights
Lawson Crouse,L,0.4001174202934465,https://www.spotrac.com/nhl/player/_/id/17995,4300000,4.89,4600000,-,2022,5,3,2027,21500000,UFA,27-95d,Jun 23 1997,7 Years,US,Kingston,Round 1 (#11 overall) 2015,Utah Hockey Club
Kirill Marchenko,R,0.3961439370493607,https://www.spotrac.com/nhl/player/_/id/27118,3850000,4.38,3600000,-,2024,3,3,2027,11550000,RFA,24-66d,Jul 21 2000,1 Years,RU,Khanty-Mansiysk,Round 2 (#49 overall) 2018,Columbus Blue Jackets
Ryan Strome,C,0.331504129161373,https://www.spotrac.com/nhl/player/_/id/8424,5000000,5.68,5000000,-,2022,5,3,2027,25000000,UFA,31-79d,Jul 10 1993,10 Years,CA,Niagara,Undrafted NYI 2011,Anaheim Ducks
Sam Bennett,C,0.4076561715347677,https://www.spotrac.com/nhl/player/_/id/15609,4425000,5.03,5000000,-,2021,4,1,2025,17700000,UFA,28-98d,Jun 20 1996,8 Years,CA,Kingston,Round 1 (#4 overall) 2014,Florida Panthers
Warren Foegele,L,0.3911902511157753,https://www.spotrac.com/nhl/player/_/id/21690,3500000,3.98,1000000,3000000,2024,3,3,2027,10500000,UFA,28-178d,Apr 01 1996,6 Years,CA,New Hampshire,Round 3 (#67 overall) 2014,Los Angeles Kings
Nicolas Roy,C,0.3702334004890298,https://www.spotrac.com/nhl/player/_/id/18926,3000000,3.41,3000000,-,2022,5,3,2027,15000000,UFA,27-233d,Feb 05 1997,5 Years,CA,Chicoutimi,,Vegas Golden Knights
Jakob Chychrun,D,0.4915002227465004,https://www.spotrac.com/nhl/player/_/id/20298,4600000,5.23,6000000,1000000,2019,6,1,2025,27600000,UFA,26-179d,Mar 31 1998,6 Years,US,Sarnia,Round 1 (#16 overall) 2016,Washington Capitals
Eeli Tolvanen,R,0.363794343284856,https://www.spotrac.com/nhl/player/_/id/25061,3475000,3.95,3475000,-,2024,2,2,2026,6950000,UFA,25-157d,Apr 22 1999,4 Years,FI,Sioux City Musketeers,Round 1 (#30 overall) 2017,Seattle Kraken
Morgan Frost,C,0.3509306793555356,https://www.spotrac.com/nhl/player/_/id/23706,2100000,2.39,2400000,-,2023,2,1,2025,420000,RFA,25-135d,May 14 1999,3 Years,CA,Sault Ste. Marie,Round 1 (#27 overall) 2017,Philadelphia Flyers
Sean Durzi,D,0.4815109672367237,https://www.spotrac.com/nhl/player/_/id/27121,6000000,6.82,7100000,-,2024,4,4,2028,24000000,UFA,25-340d,Oct 21 1998,2 Years,CA,Owen Sound,Round 2 (#52 overall) 2018,Utah Hockey Club
Reilly Smith,R,0.3525122707039219,https://www.spotrac.com/nhl/player/_/id/9374,5000000,5.68,4000000,-,2022,3,1,2025,15000000,UFA,33-181d,Mar 31 1991,11 Years,CA,Miami (OH),Round 3 (#69 overall) 2009,New York Rangers
Andrew Mangiapane,L,0.3585496284153837,https://www.spotrac.com/nhl/player/_/id/18864,5800000,6.59,5800000,-,2022,3,1,2025,17400000,UFA,28-175d,Apr 04 1996,6 Years,CA,Barrie,Round 6 (#166 overall) 2015,Washington Capitals
Jake DeBrusk,L,0.4033504449219344,https://www.spotrac.com/nhl/player/_/id/18297,5500000,6.25,2500000,4000000,2024,7,7,2031,38500000,UFA,27-344d,Oct 17 1996,6 Years,CA,Swift Current,Round 1 (#14 overall) 2015,Vancouver Canucks
Trent Frederic,C,0.3565663115337146,https://www.spotrac.com/nhl/player/_/id/20313,2300000,2.61,2300000,-,2023,2,1,2025,4600000,UFA,26-227d,Feb 11 1998,5 Years,US,USA U-18,Round 1 (#29 overall) 2016,Boston Bruins
Pierre-Luc Dubois,C,0.3665032177801315,https://www.spotrac.com/nhl/player/_/id/20280,8500000,9.66,8000000,3250000,2023,8,7,2031,68000000,UFA,26-94d,Jun 24 1998,5 Years,CA,Cape Breton,Round 1 (#3 overall) 2016,Washington Capitals
Ross Colton,C,0.3717784779421533,https://www.spotrac.com/nhl/player/_/id/20405,4000000,4.55,3500000,500000,2023,4,3,2027,16000000,UFA,28-15d,Sep 11 1996,3 Years,US,Cedar Rapids,Round 4 (#118 overall) 2016,Colorado Avalanche
Marco Rossi,C,0.3961168067883837,https://www.spotrac.com/nhl/player/_/id/62866,863333,0.98,832500,-,2022,3,1,2025,5325000,RFA,22-2d,Sep 23 2001,,AT,,Round 1 (#9 overall) 2020,Minnesota Wild
Mikael Backlund,C,0.4428068975115743,https://www.spotrac.com/nhl/player/_/id/7127,4500000,5.11,4500000,-,2024,2,2,2026,9000000,UFA,35-195d,Mar 17 1989,15 Years,SE,Vasteras,Round 1 (#24 overall) 2007,Calgary Flames
Cam Fowler,D,0.4311049947532127,https://www.spotrac.com/nhl/player/_/id/7124,6500000,7.39,7500000,-,2018,8,2,2026,52000000,UFA,32-297d,Dec 05 1991,13 Years,CA,Windsor,Round 1 (#12 overall) 2010,Anaheim Ducks
Torey Krug,D,0.4298091371931333,https://www.spotrac.com/nhl/player/_/id/9267,6500000,7.39,8500000,-,2020,7,3,2027,45500000,UFA,33-169d,Apr 12 1991,11 Years,US,Michigan State,Undrafted BOS 2012,St. Louis Blues
Scott Laughton,C,0.3423026495888448,https://www.spotrac.com/nhl/player/_/id/10767,3000000,3.41,3625000,-,2021,5,2,2026,15000000,UFA,30-120d,May 30 1994,9 Years,,,Round 1 (#20 overall) 2012,Philadelphia Flyers
Gustav Forsling,D,0.5426858686728078,https://www.spotrac.com/nhl/player/_/id/19803,5750000,6.53,1000000,5525000,2024,8,8,2032,46000000,UFA,28-106d,Jun 12 1996,5 Years,SE,Linkopings,Round 5 (#126 overall) 2014,Florida Panthers
Rasmus Andersson,D,0.519760845807538,https://www.spotrac.com/nhl/player/_/id/18225,4550000,5.17,4550000,-,2020,6,2,2026,27300000,UFA,27-334d,Oct 27 1996,7 Years,SE,Malmo,Round 2 (#53 overall) 2015,Calgary Flames
Evan Rodrigues,C,0.3860121775556608,https://www.spotrac.com/nhl/player/_/id/16717,3000000,3.41,775000,2225000,2023,4,3,2027,12000000,UFA,31-61d,Jul 28 1993,7 Years,CA,Boston,Undrafted BUF 2015,Florida Panthers
Morgan Geekie,C,0.3601520518521875,https://www.spotrac.com/nhl/player/_/id/23789,2000000,2.27,2000000,-,2023,2,1,2025,4000000,RFA,26-68d,Jul 20 1998,4 Years,CA,Tri-City,Round 3 (#67 overall) 2017,Boston Bruins
Luke Evangelista,R,0.344074249582958,https://www.spotrac.com/nhl/player/_/id/62903,797500,0.91,775000,-,2022,3,1,2025,2775000,RFA,22-216d,Feb 21 2002,,CA,,Round 2 (#42 overall) 2020,Nashville Predators
Sean Couturier,C,0.3872741353899387,https://www.spotrac.com/nhl/player/_/id/8412,7750000,8.81,4000000,5000000,2022,8,6,2030,62000000,UFA,31-295d,Dec 06 1992,11 Years,US,Drummondville,Round 1 (#8 overall) 2011,Philadelphia Flyers
Tomas Hertl,C,0.3465260205562834,https://www.spotrac.com/nhl/player/_/id/13232,8137500,9.25,7750000,2500000,2022,8,6,2030,65100000,UFA,30-319d,Nov 12 1993,9 Years,CZ,Slavia,Round 1 (#17 overall) 2012,Vegas Golden Knights
Jake Neighbours,L,0.3729750573563775,https://www.spotrac.com/nhl/player/_/id/62883,835833,0.95,832500,-,2022,3,1,2025,2775000,RFA,22-180d,Mar 29 2002,,CA,,Round 1 (#26 overall) 2020,St. Louis Blues
Jake Sanderson,D,0.5013218412577758,https://www.spotrac.com/nhl/player/_/id/62862,8050000,9.15,8050000,-,2024,8,8,2032,64000000,UFA,22-79d,Jul 08 2002,,US,,Round 1 (#5 overall) 2020,Ottawa Senators
Nick Foligno,L,0.3493594320128363,https://www.spotrac.com/nhl/player/_/id/1947,4500000,5.11,2600000,2500000,2024,2,2,2026,9000000,UFA,36-334d,Oct 30 1987,16 Years,US,Sudbury,Round 1 (#28 overall) 2006,Chicago Blackhawks
Anders Lee,L,0.4056481236949849,https://www.spotrac.com/nhl/player/_/id/12180,7000000,7.95,5850000,-,2019,7,2,2026,49000000,UFA,34-87d,Jul 03 1990,10 Years,US,Notre Dame,Round 6 (#151 overall) 2009,New York Islanders
Stefan Noesen,R,0.3138618283516909,https://www.spotrac.com/nhl/player/_/id/8563,2750000,3.13,1750000,1000000,2024,3,3,2027,8250000,UFA,31-227d,Feb 12 1993,9 Years,US,Plymouth,Round 1 (#21 overall) 2011,New Jersey Devils
Vladislav Namestnikov,C,0.32872515722093,https://www.spotrac.com/nhl/player/_/id/8964,2000000,2.27,2000000,-,2023,2,1,2025,4000000,UFA,31-309d,Nov 22 1992,9 Years,RU,London,Round 1 (#27 overall) 2011,Winnipeg Jets
Rickard Rakell,R,0.3566162922861838,https://www.spotrac.com/nhl/player/_/id/10896,5000000,5.68,6000000,-,2022,6,4,2028,30000000,UFA,31-145d,May 05 1993,10 Years,SE,Plymouth,Round 1 (#30 overall) 2011,Pittsburgh Penguins
Jaccob Slavin,D,0.5219095363876434,https://www.spotrac.com/nhl/player/_/id/17956,5300000,6.02,5200000,-,2025,8,9,2033,51690000,UFA,30-149d,May 01 1994,8 Years,US,Colorado College,Round 4 (#120 overall) 2012,Carolina Hurricanes
Danton Heinen,L,0.3271507211608595,https://www.spotrac.com/nhl/player/_/id/18919,2250000,2.56,775000,1725000,2024,2,2,2026,4500000,UFA,29-84d,Jul 05 1995,6 Years,CA,Denver,Round 4 (#116 overall) 2014,Vancouver Canucks
Mason Appleton,C,0.3733315795080818,https://www.spotrac.com/nhl/player/_/id/24219,2166666,2.46,2250000,-,2022,3,1,2025,6500000,UFA,28-255d,Jan 15 1996,4 Years,US,,Round 6 (#168 overall) 2015,Winnipeg Jets
Nils Hoglander,L,0.3394566045515076,https://www.spotrac.com/nhl/player/_/id/31664,1100000,1.25,1200000,-,2023,2,1,2025,2200000,RFA,23-279d,Dec 20 2000,,SE,Rogle,Round 2 (#40 overall) 2019,Vancouver Canucks
Erik Haula,L,0.3636781803944263,https://www.spotrac.com/nhl/player/_/id/12229,3150000,3.58,2150000,1000000,2023,3,2,2026,9450000,UFA,33-189d,Mar 23 1991,9 Years,FI,Minnesota,Round 7 (#181 overall) 2009,New Jersey Devils
Adam Lowry,C,0.3924000189705585,https://www.spotrac.com/nhl/player/_/id/12238,3250000,3.69,3500000,-,2021,5,2,2026,16250000,UFA,31-182d,Mar 29 1993,8 Years,CA,Swift Current,Round 3 (#67 overall) 2011,Winnipeg Jets
Boone Jenner,C,0.3698587192000625,https://www.spotrac.com/nhl/player/_/id/9286,3750000,4.26,3750000,-,2022,4,2,2026,15000000,UFA,31-104d,Jun 15 1993,10 Years,CA,Oshawa,Round 2 (#37 overall) 2011,Columbus Blue Jackets
Colton Sissons,C,0.3840491784857476,https://www.spotrac.com/nhl/player/_/id/10797,2857412,3.25,2300000,-,2019,7,2,2026,20000000,UFA,30-326d,Nov 05 1993,8 Years,CA,Kelowna,Round 2 (#50 overall) 2012,Nashville Predators
Jason Dickinson,C,0.4121834507519057,https://www.spotrac.com/nhl/player/_/id/15276,4250000,4.83,3850000,1000000,2024,2,2,2026,8500000,UFA,30-85d,Jul 04 1994,8 Years,CA,Guelph,Round 1 (#29 overall) 2013,Chicago Blackhawks
Mathieu Joseph,R,0.3189291924615303,https://www.spotrac.com/nhl/player/_/id/21321,2950000,3.35,3300000,-,2022,4,2,2026,11800000,UFA,27-229d,Feb 09 1997,4 Years,CA,Saint John,Round 4 (#120 overall) 2015,St. Louis Blues
Anton Lundell,C,0.3829688688267453,https://www.spotrac.com/nhl/player/_/id/62869,5000000,5.68,3400000,2500000,2024,6,6,2030,30000000,UFA,22-357d,Oct 03 2001,1 Years,FI,,Round 1 (#12 overall) 2020,Florida Panthers
Dylan Guenther,R,0.2750835357803263,https://www.spotrac.com/nhl/player/_/id/73763,894167,1.02,832500,-,2022,3,1,2025,5325000,RFA,21-168d,Apr 10 2003,,CA,Edmonton,Round 1 (#9 overall) 2021,Utah Hockey Club
Matthew Knies,L,0.3139478381325157,https://www.spotrac.com/nhl/player/_/id/73813,925000,1.05,832500,92500,2022,3,1,2025,2775000,RFA,21-343d,Oct 17 2002,,US,Tri-City,Round 2 (#57 overall) 2021,Toronto Maple Leafs
Nino Niederreiter,R,0.3571082314770837,https://www.spotrac.com/nhl/player/_/id/8785,4000000,4.55,4500000,-,2024,3,3,2027,12000000,UFA,32-19d,Sep 08 1992,11 Years,CH,Portland,Round 1 (#5 overall) 2010,Winnipeg Jets
Artturi Lehkonen,L,0.2866760879814589,https://www.spotrac.com/nhl/player/_/id/19749,4500000,5.11,4500000,-,2022,5,3,2027,22500000,UFA,29-85d,Jul 04 1995,7 Years,FI,Frolunda,Round 2 (#55 overall) 2013,Colorado Avalanche
Alex Newhook,C,0.2978439141864674,https://www.spotrac.com/nhl/player/_/id/31640,2900000,3.3,3300000,-,2023,4,3,2027,11600000,RFA,23-240d,Jan 28 2001,2 Years,CA,Boston College,Round 1 (#16 overall) 2019,Montreal Canadiens
